Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.2343702,-6.9713206,84.3,18.7,20.8,458,23.1,22.1,100.5,7.52,0.142,6.02,0.85,22.5,0.434,0.83,0.58,C1
53.2170884,-9.033815,46.3,23.8,22.5,719,28.5,36,63.8,20.9,0.292,8.6,1.95,28.6,0.434,1.17,1.21,C1
53.153454,-9.2654783,31.4,36.6,6.25,1850,19.1,47.6,165.5,25.9,0.316,8.61,5.52,61.5,0.837,1.07,2.32,C1
53.2021991,-8.8901975,43.4,26.4,11.85,239,23.6,31.3,51.8,7.14,0.1475,4.62,0.67,20.2,0.207,0.68,1.145,C1
53.2392148,-8.8463916,52.2,29.3,13.55,866,33,39,86.7,8.5,0.16,7.3,1.19,22,0.391,0.59,1.62,C1
53.1441947,-9.2367506,37.7,29.9,9.55,641,25.1,40.8,72.1,14.5,0.266,5.22,1.44,45.3,0.707,0.96,1.165,C1
53.2903981,-8.8573746,50.4,36.5,26.7,514,38.9,55.4,47.8,11.5,0.1705,6.34,1.66,22,0.464,0.73,1.69,C1
53.6876571,-8.9911151,37.6,14,9.98,501,17.7,20.3,54.5,5.33,0.0671,4.39,0.79,13.15,0.251,0.45,0.86,C1
53.1466004,-8.9110624,113.5,40.3,19.45,1195,42,47.3,103.5,12.1,0.351,13.8,1.54,44.8,0.525,1.06,0.964,C1
53.2733754,-8.8222581,59.9,30,14.6,550,37.4,44.8,74.8,7.75,0.179,8.25,2.42,23.9,0.422,0.74,1.195,C1
53.2238072,-8.8229406,47.6,28.3,15.15,1100,29.4,33.4,59.3,11.05,0.1445,6.64,1.03,21.4,0.422,0.59,1.14,C1
53.1478238,-8.8232363,49.2,26.6,9.11,1005,26.5,29.6,59,8.17,0.1435,6.17,0.88,22.9,0.464,0.73,1.16,C1
53.6845288,-8.8660991,37.3,16.35,26.8,420,19.3,22.1,45.2,9.57,0.0838,4.84,1.42,13.3,0.332,0.75,1.465,C1
53.1347839,-9.286207,34,14.45,35.1,656,15.45,19.3,62.2,25.8,0.145,3.81,0.8,17.25,0.442,0.57,1.115,C1
53.1970663,-6.4831744,86,26.1,22,1015,19.8,48.4,96.2,26.3,1.335,8.9,1.92,45.1,0.39,3.5,1.33,C1
53.1268152,-8.9386989,100,39.5,19.15,1430,41,53.9,132,17.6,0.297,13.35,1.63,48.4,0.695,1.34,1.33,C1
53.1371472,-9.281197,43.2,33.1,10.65,1465,27.4,52.1,97.1,25.5,0.294,8.17,1.91,43.7,0.729,1.08,0.956,C1
53.305903,-8.8788966,62.1,33.1,17.45,484,37.3,59.1,48.3,8.96,0.146,6.81,2.17,22.4,0.425,0.75,1.62,C1
53.112886,-8.8490914,57.4,22.4,23.3,1140,31.1,32.5,74.1,13.9,0.141,8.22,0.81,20.9,0.507,0.7,1,C1
53.1756828,-6.6666664,72.3,19.9,15.5,1260,26.3,31,123,9.44,0.0894,8.01,1.37,32,0.62,0.89,1.095,C1
53.6849343,-9.3554181,120.5,10.45,6.04,1505,2.72,47.7,20.4,7.91,0.0861,5.36,0.59,11.9,0.487,0.54,0.827,C1
53.1093559,-8.883516,54.5,23.2,17.45,1400,32,35.3,88.7,15.25,0.123,7.79,1.01,27.3,0.577,0.84,0.967,C1
53.3468691,-8.9546961,70.5,28,13.4,642,22.7,42.8,68.7,6.93,0.1245,7.16,0.8,23.1,0.228,0.85,1.23,C1
53.6700254,-8.8308513,5.1,0.65,2.27,14,0.81,1.6,14.6,0.88,0.0304,0.172,0.2,8.03,0.218,0.32,0.067,C1
53.161293,-8.938718,66.9,30.7,15.2,1040,29.9,43.2,77,15.05,0.182,9.51,1.32,28.6,0.454,0.79,1.265,C1
53.1957197,-8.9428963,33.8,17.95,30.2,469,23.6,28.3,48.7,21.6,0.1135,6.03,1.14,15.9,0.419,0.59,1.45,C1
53.1997504,-8.852722,45.4,27.5,13.7,1045,31.3,34.7,73,14.35,0.1245,6.23,1.31,22,0.665,0.83,1.015,C1
53.1456149,-8.9475527,43.5,28.9,12,983,22.3,30,78.3,9.73,0.161,7.99,1.44,28.6,0.608,0.77,1.05,C1
53.1642935,-8.9098371,36.9,23.3,12.1,1065,29.4,40.1,79.3,14.1,0.12,5.82,1.18,23.8,0.551,0.88,0.888,C1
53.3635816,-8.8810892,51,25.2,21.1,360,19.6,35.4,64.8,8.65,0.1005,5.98,0.74,19.15,0.271,0.63,1.76,C1
53.2551186,-8.8489828,81.1,32.9,15.5,456,38.4,50.9,85.3,9.03,0.207,12,1.49,35.2,0.298,0.88,1.665,C1
53.2216989,-8.9172961,50.9,21.3,22,744,33.3,29.9,71.8,11.45,0.233,8.88,1.37,20.4,0.431,0.86,1.51,C1
53.6459834,-8.8942973,18.8,12.3,12.75,65.1,11.6,13.3,18.7,4.57,0.0538,2.01,1.05,10.55,0.193,0.56,1.19,C1
53.3466396,-8.9116417,39.6,18.35,24.3,237,16,26.9,44.2,8.75,0.0878,4.23,0.52,16.4,0.384,0.67,1.365,C1
53.9389823,-8.1689852,59.3,33,14.95,991,37,57.1,84.6,10.6,0.1475,14.6,1.35,19.25,0.214,1.42,1.365,C1
53.1684527,-8.9692442,58.9,25.2,25.4,899,29.2,36.1,82.4,29.3,0.192,8.86,1.22,23.9,0.573,1.03,1.39,C1
53.553248,-9.3725122,212,23.7,8.9,138,17.05,31.5,30.5,3.45,0.0758,5.57,0.26,23.3,0.116,0.55,1.445,C1
53.5546089,-9.2212834,144.5,39.4,14.55,279,26.4,49.6,47.4,6.44,0.1475,9.04,0.55,51.6,0.107,0.87,1.45,C1
53.5731786,-9.2171538,90,32.8,15.65,930,25.2,36.5,95,8.4,0.1565,9.56,0.66,43.3,0.232,0.83,0.902,C1
53.5902212,-9.2496448,79.3,25.1,27.9,594,23.9,31.4,65.4,6.55,0.1165,8.68,0.41,25.2,0.201,0.7,1.285,C1
53.2090486,-6.4582779,27.4,37.5,17.15,739,11.3,85.3,59.1,9.02,0.295,7.91,1.1,32.4,0.345,2.82,0.626,C1
53.6102273,-8.9009754,42.7,20.6,11.15,565,25.4,33,69.4,7.84,0.0783,6.81,1,17.15,0.248,0.61,1.085,C1
53.3477902,-8.8315722,30.6,19.65,7.84,282,20.5,28.4,37.7,3.85,0.0745,4.5,1.06,13.85,0.194,0.43,0.953,C1
53.6804793,-9.2884861,96.5,29.4,26.3,744,35.4,35.1,68.2,8.39,0.244,8.86,0.95,17.8,0.286,0.5,1.455,C1
53.6634058,-8.9803198,34.9,12.65,8.9,75.8,13.05,16.5,28.2,3.63,0.0477,3.22,0.47,12.25,0.126,0.6,0.896,C1
53.5698394,-9.2847283,141,35.2,13.35,232,25.3,43.2,49.3,4.54,0.127,7.66,0.4,20,0.111,0.8,1.51,C1
53.5575929,-9.1037398,81.2,29.8,26.1,701,43.8,38.2,70.7,12.6,0.121,11.1,0.94,24.4,0.35,0.66,1.45,C1
53.6860557,-8.9204077,29,11.25,14,102.5,19.65,14.1,43,3.23,0.055,5.04,0.42,17.15,0.226,0.38,2.1,C1
53.573689,-9.2564488,76.4,23.3,21.9,435,19.8,31.1,58.2,5.48,0.1105,7.78,0.44,23.9,0.179,0.68,1.24,C1
